"edible","capshape","capsurface","capcolor","bruises","odor","gillattach","gillspace","gillsize","gillcolor","stalkshape","stalkroot","stalksurfabove","stalksurfbelow","stalkcolorabove","stalkcolorbelow","veiltype","veilcolor","ringnumber","ringtype","sporeprintcol","pop","habitat"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban"
"edible","convex","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","bell","smooth","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","bell","scaly","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","bell","smooth","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","convex","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","bell","smooth","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","convex","fibrous","n","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","sunken","fibrous","g","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","flat","fibrous","w","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban"
"edible","bell","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"poisonous","convex","scaly","n","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","bell","scaly","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","bell","scaly","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","bell","smooth","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","convex","scaly","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","flat","fibrous","n","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban"
